code;nom
1;Tanger -Tétouan- Al Hoceima
2;Oriental
3;Fès - Meknès
4;Rabat - Salé-Kenitra
5;Beni Mellal- Khénifra
6;Grand Casablanca-Settat
7;Marrakech- Safi
8;Darâa-Tafilalet
9;Souss - Massa
10;Guelmim –Oued Noun
11;Laâyoune - Sakia El Hamra
12;Dakhla-Oued Eddahab
